nose_x,nose_y,leftEye_x,leftEye_y,rightEye_x,rightEye_y,leftEar_x,leftEar_y,rightEar_x,rightEar_y,leftShoulder_x,leftShoulder_y,rightShoulder_x,rightShoulder_y,leftElbow_x,leftElbow_y,rightElbow_x,rightElbow_y,leftWrist_x,leftWrist_y,rightWrist_x,rightWrist_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y,leftKnee_x,leftKnee_y,rightKnee_x,rightKnee_y,leftAnkle_x,leftAnkle_y,rightAnkle_x,rightAnkle_y,label
877.6309334721548,513.6049951931845,943.2514650812409,458.7594545119467,872.6005631383755,457.3467257607308,1096.4294706708263,490.72985578603783,873.2135698489178,495.18844663864905,1163.024854845574,811.5366016194978,877.8158248723248,847.4864962685433,1217.2014929626703,1274.6871533375306,829.7458277602141,1225.119605157162,1132.4939689190935,1653.7340121139348,756.5465691117461,1544.0714486563716,1055.430038986503,1617.931839167376,856.3512376124756,1575.4731198321986,1087.7147250045598,2079.602076905247,951.6171074655733,2041.213186538637,1119.0024890231716,2470.881105415552,1005.1927808472155,2353.416170944036,em-pe
883.9070384697227,498.3392476478903,945.3817861831606,453.49002348309824,874.8859093810797,452.74321203565785,1086.670427730575,486.06869114975984,876.9960538515322,509.4350115705557,1171.9018032207564,809.6706512094936,879.558950936284,848.7135831484071,1219.6731555508268,1284.8570720509333,836.396617369893,1235.6315713726592,1130.0127021997355,1651.4026781371595,762.2731962092655,1548.2752129818216,1047.3935043394333,1616.0419769880837,859.4580173121353,1569.4554975338947,1000.5341644880837,2037.1501189354328,972.3845663701513,2043.1645042330374,1092.8728179337913,2428.860609002614,1014.725702783013,2360.886643702882,em-pe
888.8796367719481,504.38420277161356,955.1694556061859,451.9978160338643,877.6034035293044,453.62367860074175,1102.475969485272,493.24384518634486,865.9850171753405,502.06171533013134,1171.0471827881809,810.8154593738601,879.5304425310069,849.3248609253404,1224.6278565403088,1277.167821654086,844.681396484375,1236.9983290141658,1130.868263096197,1651.5268858675827,776.5743270458415,1551.0741997507296,1048.068643414093,1632.5579501497143,864.2754438229572,1574.8923489463004,1083.1713083467596,2083.7418944362535,959.8082106772099,2037.6274803547544,1096.5673424390504,2413.941990002584,1010.2808424656494,2344.805532967534,em-pe
879.5624373024077,523.3381053167559,940.3794379920812,466.57792978249637,877.3363687834387,470.6229112677073,1097.2338000345787,492.35624083285205,889.256387554718,514.2618640944188,1169.9710308624149,817.7653770595209,864.0970264241853,846.4342881733342,1223.0808076969845,1299.8052242293895,820.6811475939323,1241.5247840732916,1125.280515915689,1664.5338623996838,760.748846744285,1562.6794101106518,1042.021085390321,1631.1512109185007,860.1193534168287,1574.4431444457532,1073.6998561755229,2103.0451056929414,934.6042356973492,2047.91448333384,1126.3434490990546,2470.4375389485044,998.2309066831833,2351.0344224031796,em-pe
904.7696148467899,513.4657162914945,962.854991274585,461.91927779973247,880.5154597063472,468.2854868373054,1103.9645908222124,491.3866463152815,867.0556735621353,504.9540977626459,1171.2674603295234,816.6870817785597,858.6844287679353,844.7159039092899,1221.200312158013,1301.1775486571316,814.221232967154,1233.9312862886065,1126.6268588411206,1662.9676670415856,763.4868316056663,1566.9566588642997,1035.170499452821,1638.0008872659291,863.4206856456713,1588.947956070362,979.4197504065844,2078.6434402168957,992.7881785589434,2080.458085472018,998.2419975072958,2389.0777068379325,992.0064108288243,2367.888513706074,em-pe
917.2677291691998,505.750212316847,983.1814064589919,454.41734699887525,894.8947487916464,459.20588868137463,1121.2385802510184,490.85312067766597,883.878017084144,516.1457747522495,1223.9063782450753,815.8982035714829,884.8878473066634,813.5663198033195,1254.149985703049,1288.212662633755,832.4231527009363,1212.5336904562864,1152.7667378822653,1657.2470912116976,749.8201719053989,1556.062147088552,1063.615784403879,1620.714909297483,881.688944894516,1564.8895976144515,1085.5859897479936,2083.3320944225743,901.7804026325389,2006.314203284594,1094.2790703087,2431.263983463035,998.1233423136553,2349.361163781311,em-pe
928.4823715269333,504.2779683510153,994.0382165574842,450.35705803897133,911.0557087107854,458.2557921650809,1147.558570000912,485.6833829768437,911.5214758253283,508.9587212351046,1236.9129177939567,814.2634849696772,895.9096470695526,836.520041380411,1273.7415889636088,1304.8840688267571,856.6490321771644,1234.494182423395,1166.4197679809095,1661.8731855696742,759.0053739436405,1542.8434783104328,1084.3618406303199,1640.418411433001,881.7447885001216,1582.3044321973036,1099.7901649326666,2079.8160941869833,934.6169984572593,2029.8889682636186,1115.0136966185812,2422.9725427293592,995.9605793637525,2349.5452524623056,em-pe
994.7920363608039,492.01888266240576,1046.864279661661,435.92137911904183,968.6160278320312,449.01080298516536,1171.862080496109,494.9551415350651,952.6924404930976,494.4353630570586,1272.4823038123461,811.2602726680295,931.8097731297119,842.1996975316148,1319.6121631429353,1319.869118775839,874.914199294747,1240.3408730354754,1241.0479047604572,1710.4828949568337,785.3556532804141,1559.6238476942485,1108.382423489938,1620.5523064164336,893.355579895732,1570.9388204492948,1121.9920420368358,2082.2255769128465,932.2459987536479,2030.466080602505,1131.896774351365,2434.0302154897254,994.3857155885214,2361.931539453885,em-pe
936.2169365196376,426.56573937560796,1003.4524856745502,379.2400481821498,916.4795539351289,363.57707814019943,1155.6206111685312,415.2810419579888,947.9298412753451,409.99883154486866,1274.6422144967758,753.424870234983,936.8700803764136,776.8052346789883,1310.7465407078369,1260.6470272791526,900.5151652176557,1231.981006429353,1171.554235317364,1666.237346485895,739.3430812256809,1511.3288564719114,1100.9753275474222,1565.5557761581956,963.6574165552042,1555.3824743129865,1118.8190878782755,2032.0947004385032,893.6584092670842,1960.3502183016171,1116.180245366078,2428.563230046966,978.9290704986929,2316.3365179277116,em-pe
980.6590514424247,386.9025869406615,1040.4277163256932,328.2376526116397,977.037909244285,333.958734297103,1179.4878176678017,368.12400728812014,1027.7740312272008,357.913552369589,1315.6848524516658,736.2528546403818,951.2775489421206,730.7165052361989,1292.5108070225103,1311.2389970475133,912.6564162436161,1174.5423740728356,1143.0194115545962,1692.897212997021,777.1978094791159,1520.0464152176557,1083.4144467602443,1577.6692811246048,886.1229708779183,1516.032220862719,1097.8952964456164,1972.3173647631932,851.6047496276144,1964.6788363326848,1114.9362829037677,2422.550359941178,963.5738536077715,2305.113368646644,em-pe
